topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_3,light,sparse,passive_c120_mp3,101,1,1,1,0,29,49,2,6,9,13,0,0.620969295501709,0
chain_3,light,sparse,passive_c120_mp3,303,1,1,1,0,30,51,2,6,9,14,0,0.6217525005340576,0
chain_3,light,sparse,passive_c120_mp2,101,1,1,1,0,29,49,2,6,9,13,0,0.6664502620697021,0
chain_3,light,sparse,probes_c120_h2,303,1,1,1,0,34,58,2,6,9,17,1,0.7253267765045166,0
chain_3,light,sparse,baseline,404,,,0,0,17,26,4,0,2,11,0,0.8262355327606201,0
chain_3,light,sparse,passive_c120_mp3,42,1,1,1,0,29,49,2,6,9,13,0,0.8355436325073242,0
chain_3,light,sparse,passive_c120,404,,,0,0,17,26,4,0,2,11,0,0.9164862632751465,0
chain_3,light,sparse,passive_c120_mp3,404,,,0,0,17,26,4,0,2,11,0,0.916344404220581,0
chain_3,light,sparse,passive_c120_mp2,42,1,1,1,0,29,49,2,6,9,13,0,0.9219369888305664,0
chain_3,light,sparse,passive_c120,303,1,1,1,0,30,51,2,6,9,14,0,0.9242944717407227,0
chain_3,light,sparse,passive_c120,42,1,1,1,0,29,49,2,6,9,13,0,0.9251856803894043,0
chain_3,light,sparse,baseline,42,1,1,1,0,29,49,2,6,9,13,0,0.9267210960388184,0
chain_3,light,sparse,passive_c120_mp3,202,1,1,1,0,30,51,2,6,9,14,0,0.9258387088775635,0
chain_3,light,sparse,baseline,101,1,1,1,0,29,49,2,6,9,13,0,0.9303464889526367,0
chain_3,light,sparse,baseline,202,1,1,1,0,30,51,2,6,9,14,0,0.9335582256317139,0
chain_3,light,sparse,baseline,303,1,1,1,0,30,51,2,6,9,14,0,0.9344213008880615,0
chain_3,light,sparse,probes_c120_h2,42,1,1,1,0,33,56,2,6,9,16,1,0.9337985515594482,0
chain_3,light,sparse,probes_c120_h3,101,1,1,1,0,33,56,2,6,9,16,1,0.9333980083465576,0
chain_3,light,sparse,probes_c120_h2,404,,,0,0,17,26,4,0,2,11,0,0.9348676204681396,0
chain_3,light,sparse,passive_c120_mp2,404,,,0,0,17,26,4,0,2,11,0,0.9371950626373291,0
chain_3,light,sparse,probes_c120_h3,42,1,1,1,0,33,56,2,6,9,16,1,0.9367303848266602,0
chain_3,light,sparse,passive_c120,101,1,1,1,0,29,49,2,6,9,13,0,0.9420409202575684,0
chain_3,light,sparse,probes_c120_h2,101,1,1,1,0,33,56,2,6,9,16,1,0.9416000843048096,0
chain_3,light,sparse,passive_c120_mp2,303,1,1,1,0,30,51,2,6,9,14,0,0.9439337253570557,0
chain_3,light,sparse,probes_c120_h2,202,1,1,1,0,37,66,0,6,12,17,1,0.945711612701416,0
chain_3,light,sparse,passive_c120,202,1,1,1,0,30,51,2,6,9,14,0,0.9493951797485352,0
