topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_3,light,medium,baseline,404,1,1,1,0,38,61,4,6,14,13,0,0.6230599880218506,0
chain_3,light,medium,passive,101,1,1,0,1,38,64,2,3,15,13,0,0.6331968307495117,0
chain_3,light,medium,passive_c160,303,1,1,1,0,39,63,4,6,14,14,0,0.6627311706542969,0
chain_3,light,medium,passive_c120,303,1,1,1,0,39,63,4,6,14,14,0,0.6689639091491699,0
chain_3,light,medium,baseline,202,1,1,1,0,39,63,4,6,14,14,0,0.8554277420043945,0
chain_3,light,medium,passive_c80,303,1,1,0,1,36,58,4,3,12,14,0,0.8670558929443359,0
chain_3,light,medium,passive_c80,42,1,1,0,1,32,48,6,3,9,13,0,0.9092731475830078,0
chain_3,light,medium,passive,404,1,1,0,1,35,56,4,3,12,13,0,0.9139635562896729,0
chain_3,light,medium,passive_c160,404,1,1,1,0,38,61,4,6,14,13,0,0.9181725978851318,0
chain_3,light,medium,passive_c120,42,1,1,1,0,35,53,6,6,11,13,0,0.9230556488037109,0
chain_3,light,medium,passive_c120,101,1,1,1,0,41,69,2,6,17,13,0,0.9241857528686523,0
chain_3,light,medium,passive_c80,101,1,1,0,1,38,64,2,3,15,13,0,0.9248409271240234,0
chain_3,light,medium,passive_c120,202,1,1,1,0,39,63,4,6,14,14,0,0.9242517948150635,0
chain_3,light,medium,passive_c120,404,1,1,1,0,38,61,4,6,14,13,0,0.9240059852600098,0
chain_3,light,medium,baseline,42,1,1,1,0,35,53,6,6,11,13,0,0.9267706871032715,0
chain_3,light,medium,passive,303,1,1,0,1,36,58,4,3,12,14,0,0.9259598255157471,0
chain_3,light,medium,probes_on,101,1,1,0,1,39,63,4,3,12,16,1,0.9246714115142822,0
chain_3,light,medium,baseline,303,1,1,1,0,39,63,4,6,14,14,0,0.927562952041626,0
chain_3,light,medium,passive_c80,202,1,1,0,1,36,58,4,3,12,14,0,0.9277431964874268,0
chain_3,light,medium,baseline,101,1,1,1,0,41,69,2,6,17,13,0,0.9333560466766357,0
chain_3,light,medium,passive_c80,404,1,1,0,1,35,56,4,3,12,13,0,0.9345307350158691,0
chain_3,light,medium,passive,42,1,1,0,1,32,48,6,3,9,13,0,0.9359230995178223,0
chain_3,light,medium,passive,202,1,1,0,1,36,58,4,3,12,14,0,0.9359259605407715,0
chain_3,light,medium,passive_c160,42,1,1,1,0,35,53,6,6,11,13,0,0.9353461265563965,0
chain_3,light,medium,passive_c160,101,1,1,1,0,41,69,2,6,17,13,0,0.941887378692627,0
chain_3,light,medium,passive_c160,202,1,1,1,0,39,63,4,6,14,14,0,0.9448869228363037,0
chain_3,light,medium,probes_on,42,1,1,0,1,36,55,6,3,9,16,1,0.9451608657836914,0
chain_3,light,medium,probes_on,202,1,1,0,1,43,73,2,3,15,17,1,0.965320348739624,0
chain_3,light,medium,probes_on,303,1,1,0,1,37,57,6,3,9,17,1,0.8066198825836182,0
chain_3,light,medium,probes_on,404,1,1,0,1,39,63,4,3,12,16,1,0.8488774299621582,0
chain_3,light,medium,probes_c120,101,1,1,1,0,42,68,4,6,14,16,1,0.8257536888122559,0
chain_3,light,medium,probes_c120,42,1,1,1,0,39,60,6,6,11,16,1,0.8410377502441406,0
chain_3,medium,medium,baseline,202,6,6,1,5,69,113,4,21,14,34,0,0.6276736259460449,0
chain_3,medium,medium,passive_c80,303,6,6,3,3,75,123,4,27,24,28,0,0.6931419372558594,0
chain_3,medium,medium,passive_c160,42,6,6,3,3,71,113,6,27,19,29,0,0.6942894458770752,0
chain_3,medium,medium,baseline,404,6,6,1,5,68,111,4,21,14,33,0,0.7471847534179688,0
chain_3,light,medium,probes_c120,303,1,1,1,0,40,62,6,6,11,17,1,0.8366880416870117,0
chain_3,light,medium,probes_c120,202,1,1,1,0,46,78,2,6,17,17,1,0.9128885269165039,0
chain_3,medium,medium,baseline,303,6,6,1,5,69,113,4,21,14,34,0,0.8479554653167725,0
chain_3,light,medium,probes_c120,404,1,1,1,0,42,68,4,6,14,16,1,0.8827786445617676,0
chain_3,medium,medium,passive_c120,202,6,6,3,3,75,123,4,27,22,30,0,0.8581452369689941,0
chain_3,medium,medium,baseline,42,6,6,1,5,65,103,6,21,11,33,0,0.9058096408843994,0
chain_3,medium,medium,baseline,101,6,6,1,5,71,119,2,21,17,33,0,0.90940260887146,0
chain_3,medium,medium,passive,42,6,6,3,3,69,107,8,25,21,25,0,0.9209251403808594,0
chain_3,medium,medium,passive,404,6,6,3,3,74,121,4,27,24,27,0,0.9279649257659912,0
chain_3,medium,medium,passive,202,6,6,3,3,75,123,4,27,24,28,0,0.9298355579376221,0
chain_3,medium,medium,passive_c80,101,6,6,3,3,77,129,2,27,27,27,0,0.9276206493377686,0
chain_3,medium,medium,passive,101,6,6,3,3,77,129,2,27,27,27,0,0.9306619167327881,0
