topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,medium,medium,p3_c40_mp1_pen1_h2,42,6,6,0,6,102,206,29,26,43,38,1,0.9433932304382324,0
chain_6,medium,medium,p3_c40_mp2_pen1_h0,101,6,6,0,6,111,232,14,29,50,35,0,0.943396806716919,0
chain_6,medium,medium,p3_c40_mp1_pen0_h0,101,6,6,3,3,112,233,22,32,52,37,0,1.0051064491271973,0
chain_6,medium,medium,p3_c40_mp2_pen1_h0,42,6,6,0,6,98,188,27,27,37,35,0,1.242492914199829,0
chain_6,medium,medium,p3_c40_mp1_pen0_h5,101,6,6,3,3,116,233,31,33,53,38,2,1.2454988956451416,0
chain_6,medium,medium,p3_c40_mp1_pen0_h2,101,6,6,3,3,116,233,31,33,53,38,2,1.293318510055542,0
chain_6,medium,medium,baseline,202,6,6,1,5,101,217,17,22,35,45,0,1.3487701416015625,0
chain_6,medium,medium,p3_c40_mp1_pen0_h2,42,6,6,3,3,106,212,31,25,43,40,1,1.3725407123565674,0
chain_6,medium,medium,p3_c40_mp1_pen0_h0,42,6,6,3,3,99,190,36,31,37,39,0,1.3738722801208496,0
chain_6,medium,medium,p3_c40_mp2_pen1_h0,202,6,6,0,6,110,222,23,27,49,35,0,1.379763126373291,0
chain_6,medium,medium,baseline,42,6,6,1,5,94,180,32,28,40,33,0,1.3827645778656006,0
chain_6,medium,medium,p3_c40_mp1_pen0_h5,202,6,6,3,3,98,189,34,20,40,36,1,1.3829753398895264,0
chain_6,medium,medium,p3_c40_mp1_pen1_h5,202,6,6,0,6,99,198,30,26,40,38,1,1.3853025436401367,0
chain_6,medium,medium,p3_c40_mp2_pen1_h2,202,6,6,0,6,106,209,27,27,41,38,1,1.3839421272277832,0
chain_6,medium,medium,p3_c40_mp1_pen0_h0,202,6,6,3,3,111,221,35,31,49,39,0,1.3921265602111816,0
chain_6,medium,medium,baseline,101,6,6,1,5,100,218,13,22,34,45,0,1.3946623802185059,0
chain_6,medium,medium,p3_c40_mp1_pen1_h0,42,6,6,0,6,91,178,29,26,36,35,0,1.3980896472930908,0
chain_6,medium,medium,p3_c40_mp1_pen1_h5,101,6,6,0,6,109,230,19,29,49,38,2,1.3993768692016602,0
chain_6,medium,medium,p3_c40_mp1_pen1_h2,202,6,6,0,6,99,198,30,26,40,38,1,1.4105863571166992,0
chain_6,medium,medium,p3_c40_mp1_pen1_h2,101,6,6,0,6,109,230,19,29,49,38,2,1.4134376049041748,0
chain_6,medium,medium,p3_c40_mp1_pen1_h0,101,6,6,0,6,104,219,17,28,49,35,0,1.4183826446533203,0
chain_6,medium,medium,p3_c40_mp1_pen1_h0,202,6,6,0,6,105,221,20,28,50,35,0,1.4217119216918945,0
chain_6,medium,medium,p3_c40_mp1_pen1_h5,42,6,6,0,6,102,206,29,26,43,38,1,1.422975778579712,0
chain_6,medium,medium,p3_c40_mp2_pen1_h2,42,6,6,0,6,109,217,26,27,44,38,1,1.4235012531280518,0
chain_6,medium,medium,p3_c40_mp1_pen0_h5,42,6,6,3,3,106,212,31,25,43,40,1,1.4277663230895996,0
chain_6,medium,medium,p3_c40_mp2_pen1_h5,42,6,6,0,6,109,217,26,27,44,38,1,1.4282715320587158,0
chain_6,medium,medium,p3_c40_mp2_pen1_h2,101,6,6,0,6,113,228,23,27,47,38,2,1.4297513961791992,0
chain_6,medium,medium,p3_c40_mp1_pen0_h2,202,6,6,3,3,98,189,34,20,40,36,1,1.4319062232971191,0
chain_6,medium,medium,p3_c40_mp2_pen1_h5,101,6,6,0,6,113,228,23,27,47,38,2,1.2161147594451904,0
chain_6,medium,medium,p3_c40_mp2_pen0_h5,42,6,6,3,3,109,215,31,25,43,40,1,0.9412081241607666,0
chain_6,medium,medium,p3_c40_mp2_pen1_h5,202,6,6,0,6,106,209,27,27,41,38,1,1.383169174194336,0
chain_6,medium,medium,p3_c40_mp2_pen0_h0,42,6,6,3,3,103,188,39,32,46,31,0,1.371727466583252,0
chain_6,medium,medium,p3_c40_mp2_pen0_h5,101,6,6,3,3,113,216,34,26,54,32,2,1.0072612762451172,0
chain_6,medium,medium,p3_c40_mp3_pen0_h0,202,6,6,3,3,118,231,33,32,50,39,0,1.0034284591674805,0
chain_6,medium,medium,p3_c40_mp2_pen0_h0,202,6,6,3,3,111,224,26,27,49,37,0,1.3489551544189453,0
chain_6,medium,medium,p3_c40_mp2_pen0_h0,101,6,6,3,3,108,218,23,24,48,35,0,1.3909657001495361,0
chain_6,medium,medium,p3_c40_mp2_pen0_h2,42,6,6,3,3,109,215,31,25,43,40,1,1.3644254207611084,0
chain_6,medium,medium,p3_c40_mp3_pen0_h2,202,6,6,3,3,105,196,33,21,45,32,1,1.2987215518951416,0
chain_6,medium,medium,p3_c40_mp2_pen0_h2,101,6,6,3,3,113,216,34,26,54,32,2,1.3849213123321533,0
chain_6,medium,medium,p3_c40_mp3_pen1_h0,202,6,6,0,6,114,216,31,25,47,35,0,1.3636274337768555,0
chain_6,medium,medium,p3_c40_mp3_pen0_h2,101,6,6,3,3,123,240,32,33,54,38,2,1.3234126567840576,0
chain_6,medium,medium,p3_c40_mp3_pen1_h0,42,6,6,0,6,103,191,28,26,36,35,0,1.370192050933838,0
chain_6,medium,medium,p3_c40_mp2_pen0_h2,202,6,6,3,3,102,193,33,21,45,32,1,1.3844728469848633,0
chain_6,medium,medium,p3_c40_mp2_pen0_h5,202,6,6,3,3,102,193,33,21,45,32,1,1.379502534866333,0
chain_6,medium,medium,p3_c40_mp3_pen1_h2,42,6,6,0,6,114,214,31,26,43,38,1,1.3868169784545898,0
chain_6,medium,medium,p3_c40_mp3_pen1_h5,42,6,6,0,6,114,214,31,26,43,38,1,1.3924098014831543,0
chain_6,medium,medium,p3_c40_mp3_pen1_h0,101,6,6,0,6,114,223,23,26,47,35,0,1.412283182144165,0
chain_6,medium,medium,p3_c40_mp3_pen1_h2,202,6,6,0,6,111,208,32,26,40,38,1,1.4195325374603271,0
chain_6,medium,medium,p3_c40_mp3_pen0_h0,42,6,6,3,3,101,187,32,26,40,33,0,1.4086391925811768,0
chain_6,medium,medium,p3_c40_mp3_pen1_h2,101,6,6,0,6,118,228,27,26,46,38,2,1.4369871616363525,0
chain_6,medium,medium,p3_c40_mp3_pen1_h5,101,6,6,0,6,118,228,27,26,46,38,2,1.4273183345794678,0
chain_6,medium,medium,p3_c40_mp3_pen0_h0,101,6,6,3,3,113,229,21,26,48,37,0,1.4193356037139893,0
chain_6,medium,medium,p3_c40_mp3_pen0_h2,42,6,6,3,3,111,213,30,24,44,38,1,1.41917085647583,0
chain_6,medium,medium,p3_c40_mp3_pen1_h5,202,6,6,0,6,111,208,32,26,40,38,1,1.4415807723999023,0
chain_6,medium,medium,p3_c40_mp3_pen0_h5,42,6,6,3,3,111,213,30,24,44,38,1,1.423790693283081,0
chain_6,medium,medium,p3_c40_mp3_pen0_h5,101,6,6,3,3,123,240,32,33,54,38,2,1.434025526046753,0
chain_6,medium,medium,p3_c40_mp3_pen0_h5,202,6,6,3,3,105,196,33,21,45,32,1,1.2687537670135498,0
chain_6,medium,medium,p3_c100_mp1_pen1_h0,42,6,6,0,6,91,178,29,26,36,35,0,1.11478853225708,0
chain_6,medium,medium,p3_c100_mp1_pen1_h2,42,6,6,0,6,102,206,29,26,43,38,1,1.273369312286377,0
chain_6,medium,medium,p3_c100_mp1_pen1_h0,101,6,6,0,6,104,219,17,28,49,35,0,1.3867735862731934,0
chain_6,medium,medium,p3_c100_mp1_pen1_h2,101,6,6,0,6,109,230,19,29,49,38,2,1.2900454998016357,0
chain_6,medium,medium,p3_c100_mp1_pen1_h0,202,6,6,0,6,105,221,20,28,50,35,0,1.3574705123901367,0
chain_6,medium,medium,p3_c100_mp1_pen1_h5,202,6,6,0,6,99,198,30,26,40,38,1,1.1077420711517334,0
chain_6,medium,medium,p3_c100_mp1_pen1_h2,202,6,6,0,6,99,198,30,26,40,38,1,1.2806062698364258,0
chain_6,medium,medium,p3_c100_mp2_pen1_h2,42,6,6,0,6,109,217,26,27,44,38,1,1.0984795093536377,0
chain_6,medium,medium,p3_c100_mp1_pen0_h2,101,6,6,3,3,116,233,31,33,53,38,2,1.2663986682891846,0
chain_6,medium,medium,p3_c100_mp1_pen1_h5,42,6,6,0,6,102,206,29,26,43,38,1,1.389357328414917,0
chain_6,medium,medium,p3_c100_mp2_pen1_h0,202,6,6,0,6,110,222,23,27,49,35,0,1.2010600566864014,0
chain_6,medium,medium,p3_c100_mp1_pen1_h5,101,6,6,0,6,109,230,19,29,49,38,2,1.4328434467315674,0
chain_6,medium,medium,p3_c100_mp1_pen0_h0,101,6,6,3,3,112,233,22,32,52,37,0,1.3837225437164307,0
chain_6,medium,medium,p3_c100_mp1_pen0_h0,42,6,6,3,3,99,190,36,31,37,39,0,1.4008533954620361,0
chain_6,medium,medium,p3_c100_mp1_pen0_h2,42,6,6,3,3,106,212,31,25,43,40,1,1.3893101215362549,0
chain_6,medium,medium,p3_c100_mp2_pen1_h0,101,6,6,0,6,111,232,14,29,50,35,0,1.3246567249298096,0
chain_6,medium,medium,p3_c100_mp1_pen0_h2,202,6,6,3,3,98,189,34,20,40,36,1,1.3939950466156006,0
chain_6,medium,medium,p3_c100_mp1_pen0_h0,202,6,6,3,3,111,221,35,31,49,39,0,1.4064147472381592,0
chain_6,medium,medium,p3_c100_mp1_pen0_h5,42,6,6,3,3,106,212,31,25,43,40,1,1.389528751373291,0
chain_6,medium,medium,p3_c100_mp1_pen0_h5,202,6,6,3,3,98,189,34,20,40,36,1,1.3837623596191406,0
chain_6,medium,medium,p3_c100_mp1_pen0_h5,101,6,6,3,3,116,233,31,33,53,38,2,1.3993909358978271,0
chain_6,medium,medium,p3_c100_mp2_pen1_h0,42,6,6,0,6,98,188,27,27,37,35,0,1.4052355289459229,0
chain_6,medium,medium,p3_c100_mp2_pen1_h2,101,6,6,0,6,113,228,23,27,47,38,2,1.4183194637298584,0
chain_6,medium,medium,p3_c100_mp2_pen1_h2,202,6,6,0,6,106,209,27,27,41,38,1,1.4158577919006348,0
chain_6,medium,medium,p3_c100_mp2_pen1_h5,42,6,6,0,6,109,217,26,27,44,38,1,1.42498779296875,0
chain_6,medium,medium,p3_c100_mp2_pen1_h5,202,6,6,0,6,106,209,27,27,41,38,1,1.4197943210601807,0
chain_6,medium,medium,p3_c100_mp2_pen1_h5,101,6,6,0,6,113,228,23,27,47,38,2,1.4355268478393555,0
chain_6,medium,medium,p3_c100_mp2_pen0_h0,42,6,6,3,3,103,188,39,32,46,31,0,1.1537187099456787,0
chain_6,medium,medium,p3_c100_mp2_pen0_h0,101,6,6,3,3,108,218,23,24,48,35,0,1.3639440536499023,0
chain_6,medium,medium,p3_c100_mp2_pen0_h2,202,6,6,3,3,102,193,33,21,45,32,1,1.204845666885376,0
chain_6,medium,medium,p3_c100_mp2_pen0_h5,42,6,6,3,3,109,215,31,25,43,40,1,1.1620657444000244,0
chain_6,medium,medium,p3_c100_mp2_pen0_h2,42,6,6,3,3,109,215,31,25,43,40,1,1.2978737354278564,0
chain_6,medium,medium,p3_c100_mp2_pen0_h0,202,6,6,3,3,111,224,26,27,49,37,0,1.3936214447021484,0
chain_6,medium,medium,p3_c100_mp2_pen0_h2,101,6,6,3,3,113,216,34,26,54,32,2,1.3481767177581787,0
chain_6,medium,medium,p3_c100_mp2_pen0_h5,101,6,6,3,3,113,216,34,26,54,32,2,1.2399041652679443,0
chain_6,medium,medium,p3_c100_mp2_pen0_h5,202,6,6,3,3,102,193,33,21,45,32,1,1.3598520755767822,0
chain_6,medium,medium,p3_c100_mp3_pen0_h0,42,6,6,3,3,101,187,32,26,40,33,0,1.1597850322723389,0
chain_6,medium,medium,p3_c100_mp3_pen1_h0,202,6,6,0,6,114,216,31,25,47,35,0,1.3382854461669922,0
chain_6,medium,medium,p3_c100_mp3_pen1_h0,42,6,6,0,6,103,191,28,26,36,35,0,1.3800067901611328,0
chain_6,medium,medium,p3_c100_mp3_pen1_h5,101,6,6,0,6,118,228,27,26,46,38,2,1.2588353157043457,0
chain_6,medium,medium,p3_c100_mp3_pen1_h0,101,6,6,0,6,114,223,23,26,47,35,0,1.39459228515625,0
chain_6,medium,medium,p3_c100_mp3_pen1_h2,42,6,6,0,6,114,214,31,26,43,38,1,1.3273348808288574,0
chain_6,medium,medium,p3_c100_mp3_pen0_h5,202,6,6,3,3,105,196,33,21,45,32,1,1.2327454090118408,0
chain_6,medium,medium,p3_c100_mp3_pen1_h2,202,6,6,0,6,111,208,32,26,40,38,1,1.385955572128296,0
chain_6,medium,medium,p3_c100_mp3_pen1_h2,101,6,6,0,6,118,228,27,26,46,38,2,1.3875043392181396,0
chain_6,medium,medium,p3_c100_mp3_pen0_h0,202,6,6,3,3,118,231,33,32,50,39,0,1.3636317253112793,0
chain_6,medium,medium,p3_c100_mp3_pen1_h5,42,6,6,0,6,114,214,31,26,43,38,1,1.4205994606018066,0
chain_6,medium,medium,p3_c100_mp3_pen0_h5,101,6,6,3,3,123,240,32,33,54,38,2,1.296248197555542,0
chain_6,medium,medium,p3_c100_mp3_pen1_h5,202,6,6,0,6,111,208,32,26,40,38,1,1.422253131866455,0
chain_6,medium,medium,p3_c100_mp3_pen0_h2,42,6,6,3,3,111,213,30,24,44,38,1,1.3971667289733887,0
chain_6,medium,medium,p3_c100_mp3_pen0_h0,101,6,6,3,3,113,229,21,26,48,37,0,1.421567440032959,0
chain_6,medium,medium,p3_c100_mp3_pen0_h2,101,6,6,3,3,123,240,32,33,54,38,2,1.389857292175293,0
chain_6,medium,medium,p3_c100_mp3_pen0_h2,202,6,6,3,3,105,196,33,21,45,32,1,1.4239633083343506,0
chain_6,medium,medium,p3_c100_mp3_pen0_h5,42,6,6,3,3,111,213,30,24,44,38,1,1.4299449920654297,0
chain_6,medium,medium,p3_c105_mp1_pen1_h0,42,6,6,4,2,94,176,33,23,41,31,0,1.4104375839233398,0
chain_6,medium,medium,p3_c105_mp1_pen1_h0,101,6,6,4,2,110,224,27,28,50,37,0,1.4254529476165771,0
chain_6,medium,medium,p3_c105_mp1_pen1_h0,202,6,6,4,2,113,232,24,28,55,35,0,1.3296682834625244,0
chain_6,medium,medium,p3_c105_mp1_pen1_h2,101,6,6,4,2,114,229,29,28,51,38,2,1.2895379066467285,0
chain_6,medium,medium,p3_c105_mp1_pen1_h2,42,6,6,4,2,105,209,30,23,44,38,1,1.3974034786224365,0
chain_6,medium,medium,p3_c105_mp1_pen1_h5,42,6,6,4,2,105,209,30,23,44,38,1,1.3495700359344482,0
chain_6,medium,medium,p3_c105_mp1_pen1_h5,202,6,6,4,2,102,195,35,22,45,34,1,1.3005807399749756,0
chain_6,medium,medium,p3_c105_mp1_pen1_h2,202,6,6,4,2,102,195,35,22,45,34,1,1.420224666595459,0
chain_6,medium,medium,p3_c105_mp1_pen1_h5,101,6,6,4,2,114,229,29,28,51,38,2,1.4147114753723145,0
chain_6,medium,medium,p3_c105_mp1_pen0_h0,101,6,6,4,2,110,224,27,28,50,37,0,1.226991891860962,0
chain_6,medium,medium,p3_c105_mp2_pen1_h0,42,6,6,3,3,101,189,36,30,38,37,0,1.039135456085205,0
chain_6,medium,medium,p3_c105_mp1_pen0_h0,42,6,6,4,2,94,176,33,23,41,31,0,1.3135030269622803,0
chain_6,medium,medium,p3_c105_mp1_pen0_h0,202,6,6,4,2,113,232,24,28,55,35,0,1.3634681701660156,0
chain_6,medium,medium,p3_c105_mp1_pen0_h2,202,6,6,4,2,102,195,35,22,45,34,1,1.3415672779083252,0
chain_6,medium,medium,p3_c105_mp1_pen0_h2,42,6,6,4,2,105,209,30,23,44,38,1,1.3595738410949707,0
chain_6,medium,medium,p3_c105_mp1_pen0_h2,101,6,6,4,2,114,229,29,28,51,38,2,1.3608436584472656,0
chain_6,medium,medium,p3_c105_mp2_pen1_h0,101,6,6,4,2,113,231,24,29,51,37,0,1.2972512245178223,0
chain_6,medium,medium,p3_c105_mp1_pen0_h5,42,6,6,4,2,105,209,30,23,44,38,1,1.4421801567077637,0
chain_6,medium,medium,p3_c105_mp2_pen1_h2,202,6,6,4,2,104,197,35,22,45,34,1,1.3055853843688965,0
