topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_3,medium,medium,p2_c120,303,6,6,3,3,75,123,4,27,22,30,0,0.7015235424041748,0
chain_3,medium,medium,baseline,202,6,6,1,5,69,113,4,21,14,34,0,0.7346339225769043,0
chain_3,medium,medium,p2_c40,101,6,6,0,6,65,106,4,18,22,23,0,0.8169972896575928,0
chain_3,medium,medium,p2_c120,42,6,6,3,3,71,113,6,27,19,29,0,0.8342194557189941,0
chain_3,medium,medium,p2_c120_h2,202,6,6,3,3,82,138,2,27,25,33,1,0.879525899887085,0
chain_3,medium,medium,p2_c40_penalty_off,42,6,6,3,3,71,113,6,27,21,27,0,0.8850455284118652,0
chain_3,medium,medium,baseline,303,6,6,1,5,69,113,4,21,14,34,0,0.9184250831604004,0
chain_3,medium,medium,baseline,404,6,6,1,5,66,105,6,19,14,31,0,0.9185161590576172,0
chain_3,medium,medium,baseline,42,6,6,1,5,65,103,6,21,11,33,0,0.9195370674133301,0
chain_3,medium,medium,p2_c120_mp2,42,6,6,3,3,74,116,6,27,19,29,0,0.9249365329742432,0
chain_3,medium,medium,p2_c120_mp2,404,6,6,3,3,77,124,4,27,22,29,0,0.9269583225250244,0
chain_3,medium,medium,p2_c120,404,6,6,3,3,74,121,4,27,22,29,0,0.9304897785186768,0
chain_3,medium,medium,p2_c120_mp2,101,6,6,3,3,77,124,4,27,22,29,0,0.9322717189788818,0
chain_3,medium,medium,p2_c120_mp2,303,6,6,3,3,78,126,4,27,22,30,0,0.9334733486175537,0
chain_3,medium,medium,p2_c40_penalty_off,101,6,6,3,3,74,121,4,27,24,27,0,0.9331300258636475,0
chain_3,medium,medium,baseline,101,6,6,1,5,68,111,4,21,14,33,0,0.9400403499603271,0
chain_3,medium,medium,p2_c120,202,6,6,3,3,75,123,4,27,22,30,0,0.9421436786651611,0
chain_3,medium,medium,p2_c40,303,6,6,0,6,66,108,4,18,22,24,0,0.9408085346221924,0
chain_3,medium,medium,p2_c120,101,6,6,3,3,74,121,4,27,22,29,0,0.9451241493225098,0
chain_3,medium,medium,p2_c120_h2,42,6,6,3,3,75,120,6,27,19,32,1,0.9445610046386719,0
chain_3,medium,medium,p2_c120_mp2,202,6,6,3,3,78,126,4,27,22,30,0,0.9488439559936523,0
chain_3,medium,medium,p2_c40,42,6,6,0,6,62,98,6,18,19,23,0,0.9525318145751953,0
chain_3,medium,medium,p2_c40,404,6,6,0,6,65,106,4,18,22,23,0,0.9595727920532227,0
chain_3,medium,medium,p2_c40_penalty_off,202,6,6,3,3,75,123,4,27,24,28,0,0.9599466323852539,0
chain_3,medium,medium,p2_c40,202,6,6,0,6,66,108,4,18,22,24,0,0.9620637893676758,0
chain_3,medium,medium,p2_c120_h2,303,6,6,3,3,76,122,6,27,19,33,1,0.969219446182251,0
chain_3,medium,medium,p2_c120_h2,404,6,6,3,3,78,128,4,27,22,32,1,0.9694840908050537,0
chain_3,medium,medium,p2_c120_h2,101,6,6,3,3,81,136,2,27,25,32,1,0.9714231491088867,0
chain_3,medium,medium,p2_c40_penalty_off,303,6,6,3,3,75,123,4,27,24,28,0,0.8535749912261963,0
chain_3,medium,frequent,p2_c120_mp2,42,6,6,3,3,90,135,11,27,27,29,0,0.6449472904205322,0
chain_3,medium,frequent,p2_c120_mp2,404,6,6,4,2,92,141,10,25,34,25,0,0.6694386005401611,0
chain_3,medium,medium,p2_c40_penalty_off,404,6,6,3,3,74,121,4,27,24,27,0,0.9219012260437012,0
chain_3,medium,frequent,p2_c40,303,6,6,0,6,78,116,12,18,26,24,0,0.7001965045928955,0
chain_3,medium,frequent,baseline,42,6,6,1,5,81,122,11,21,19,33,0,0.9194271564483643,0
chain_3,medium,frequent,baseline,101,6,6,1,5,89,143,6,21,27,33,0,0.9353489875793457,0
chain_3,medium,frequent,baseline,202,6,6,1,5,84,129,10,21,21,34,0,0.9214186668395996,0
chain_3,medium,frequent,p2_c120_h2,303,6,6,3,3,88,130,14,27,23,33,1,0.8602409362792969,0
chain_3,medium,frequent,baseline,303,6,6,1,5,81,121,12,21,18,34,0,0.9246761798858643,0
chain_3,medium,frequent,baseline,404,6,6,1,5,86,135,8,21,24,33,0,0.9251658916473389,0
chain_3,medium,frequent,p2_c120,42,6,6,3,3,87,132,11,27,27,29,0,0.9301533699035645,0
chain_3,medium,frequent,p2_c120,303,6,6,3,3,87,131,12,27,26,30,0,0.9278738498687744,0
chain_3,medium,frequent,p2_c120,404,6,6,4,2,90,139,10,25,34,25,0,0.937859296798706,0
chain_3,medium,frequent,p2_c120,202,6,6,3,3,90,139,10,27,29,30,0,0.9446749687194824,0
chain_3,medium,frequent,p2_c120_mp2,303,6,6,3,3,90,134,12,27,26,30,0,0.9348928928375244,0
chain_3,medium,frequent,p2_c120_mp2,101,6,6,3,3,98,156,6,27,35,29,0,0.942739725112915,0
chain_3,medium,frequent,p2_c120_mp2,202,6,6,3,3,93,142,10,27,29,30,0,0.9467458724975586,0
chain_3,medium,frequent,p2_c120,101,6,6,3,3,95,153,6,27,35,29,0,0.9648532867431641,0
chain_3,medium,frequent,p2_c120_h2,42,6,6,3,3,91,139,11,27,27,32,1,0.9509475231170654,0
chain_3,medium,frequent,p2_c120_h2,101,6,6,3,3,96,152,8,27,32,32,1,0.9486098289489746,0
