topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_15,heavy,medium,passive,42,11,12,1,11,513,984,10,168,130,351,0,2.2034661769866943,0
chain_15,medium,medium,passive_c120_mp3,303,6,6,1,5,343,653,12,98,102,220,0,3.248908758163452,0
chain_15,heavy,medium,baseline,42,11,12,2,10,505,966,12,159,135,338,0,2.7977631092071533,0
chain_15,medium,medium,passive_c120_mp3,404,5,6,1,5,319,607,11,84,98,201,0,3.2230019569396973,0
chain_15,heavy,medium,passive,303,11,12,3,9,467,877,25,147,240,195,0,2.1398303508758545,0
chain_15,heavy,medium,baseline,202,11,12,1,11,468,893,11,168,88,348,0,2.949350595474243,0
chain_15,heavy,medium,baseline,303,11,12,3,9,467,877,25,147,240,195,0,3.32566237449646,0
chain_15,heavy,medium,passive,101,11,12,1,11,490,935,13,168,102,356,0,2.9133212566375732,0
chain_15,heavy,medium,passive,404,0,12,12,0,320,612,8,0,224,76,0,2.901181936264038,0
chain_15,heavy,medium,passive,202,11,12,1,11,468,893,11,168,88,348,0,3.2478365898132324,0
chain_15,heavy,medium,passive_mp2,101,11,12,1,11,490,935,13,168,102,356,0,2.13016676902771,0
chain_15,heavy,medium,passive_mp2,42,10,12,6,6,552,1052,11,210,237,274,0,2.420194625854492,0
chain_15,heavy,medium,passive_mp2,404,0,12,12,0,320,612,8,0,224,76,0,2.283271551132202,0
chain_15,heavy,medium,passive_mp2,202,11,12,1,11,468,893,11,168,88,348,0,2.679483652114868,0
chain_15,heavy,medium,passive_mp2,303,11,12,3,9,467,877,25,147,240,195,0,2.841538429260254,0
chain_15,heavy,medium,passive_mp3,202,11,12,1,11,468,893,11,168,88,348,0,2.5892579555511475,0
chain_15,heavy,medium,passive_mp4,101,11,12,1,11,490,935,13,168,102,356,0,2.165700912475586,0
