topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,medium,frequent,p2_c40,42,6,6,0,6,113,205,48,25,50,35,0,1.3970441818237305,0
chain_6,medium,frequent,p2_c40_penalty_off,202,6,6,3,3,125,229,49,20,63,33,0,1.387803077697754,0
chain_6,medium,frequent,p2_c40_mp3,202,6,6,0,6,138,249,46,27,63,35,0,1.3987953662872314,0
chain_6,medium,frequent,p2_c40,101,6,6,0,6,138,274,40,27,75,35,0,1.4120783805847168,0
chain_6,medium,frequent,p2_c40_penalty_off,42,6,6,3,3,117,211,50,25,50,37,0,1.404078722000122,0
chain_6,medium,frequent,p2_c40_mp3,101,6,6,0,6,150,286,40,27,75,35,0,1.4145164489746094,0
chain_6,medium,frequent,p2_c40_h2,101,6,6,0,6,133,261,42,26,66,38,1,1.4177720546722412,0
chain_6,medium,frequent,p2_c120,101,6,6,4,2,146,286,45,29,78,37,0,1.1912999153137207,0
chain_6,medium,frequent,p2_c120,202,6,6,4,2,133,244,54,28,65,37,0,1.2710015773773193,0
chain_6,medium,frequent,p2_c40_h2,202,6,6,0,6,125,236,47,27,58,38,1,1.3718724250793457,0
chain_6,medium,frequent,p2_c120,42,6,6,3,3,122,226,48,31,50,41,0,1.3670353889465332,0
chain_6,medium,frequent,p2_c120_mp2,42,6,6,3,3,125,229,48,31,50,41,0,1.3130979537963867,0
chain_6,medium,frequent,p2_etl_86400,42,6,6,3,3,122,226,48,31,50,41,0,0.9773712158203125,0
chain_6,medium,frequent,p2_etl_86400,101,6,6,4,2,146,286,45,29,78,37,0,0.9812045097351074,0
chain_6,medium,frequent,p2_c120_mp2,101,6,6,4,2,148,288,45,29,78,37,0,1.3861563205718994,0
chain_6,medium,frequent,p2_c120_mp2,202,6,6,4,2,136,253,47,28,68,35,0,1.4041900634765625,0
chain_6,medium,frequent,p2_c120_mp3,42,6,6,3,3,129,237,45,32,51,41,0,1.261049509048462,0
chain_6,medium,frequent,p2_c120_mp3,101,6,6,4,2,150,289,46,29,78,37,0,1.3106563091278076,0
chain_6,medium,frequent,p2_c120_mp3,202,6,6,4,2,138,255,47,28,68,35,0,1.3418760299682617,0
chain_6,medium,frequent,p2_c120_h2,42,6,6,3,3,138,267,46,32,62,44,1,1.3565831184387207,0
chain_6,medium,frequent,p2_etl_60,101,6,6,4,2,146,286,45,29,78,37,0,1.3293495178222656,0
chain_6,medium,frequent,p2_etl_1800,42,6,6,3,3,122,226,48,31,50,41,0,1.3469882011413574,0
chain_6,heavy,medium,p2_c40,202,12,12,0,12,148,302,37,54,69,47,0,1.2498600482940674,0
chain_6,medium,frequent,p2_etl_60,42,6,6,3,3,122,226,48,31,50,41,0,1.3690266609191895,0
chain_6,medium,frequent,p2_etl_60,202,6,6,4,2,133,244,54,28,65,37,0,1.3642210960388184,0
chain_6,medium,frequent,p2_c120_h2,202,6,6,3,3,131,244,52,29,57,42,1,1.3978266716003418,0
chain_6,heavy,medium,baseline,202,12,12,1,11,144,282,46,53,66,45,0,1.3197906017303467,0
chain_6,medium,frequent,p2_etl_1800,202,6,6,4,2,133,244,54,28,65,37,0,1.3670730590820312,0
chain_6,medium,frequent,p2_etl_1800,101,6,6,4,2,146,286,45,29,78,37,0,1.3805570602416992,0
chain_6,medium,frequent,p2_etl_86400,202,6,6,4,2,133,244,54,28,65,37,0,1.3477280139923096,0
chain_6,medium,frequent,p2_c120_h2,101,6,6,4,2,136,264,43,23,67,38,1,1.431638240814209,0
chain_6,heavy,medium,baseline,42,12,12,4,8,141,277,37,47,69,39,0,1.3793399333953857,0
chain_6,heavy,medium,baseline,101,11,12,2,10,132,281,23,36,38,62,0,1.3840885162353516,0
chain_6,heavy,medium,p2_c40,42,12,12,0,12,140,284,35,54,61,47,0,1.38242506980896,0
chain_6,heavy,medium,p2_c40,101,10,12,0,12,139,288,29,45,64,45,0,1.390263557434082,0
chain_6,heavy,medium,p2_c40_mp2,42,12,12,0,12,147,277,42,50,56,47,0,1.0305438041687012,0
chain_6,heavy,medium,p2_c40_mp3,42,12,12,0,12,166,314,33,55,63,47,0,1.296191930770874,0
chain_6,heavy,medium,p2_c40_mp2,202,12,12,0,12,160,311,40,54,69,47,0,1.3186912536621094,0
chain_6,heavy,medium,p2_c40_mp2,101,10,12,0,12,153,303,31,45,66,45,0,1.4182443618774414,0
chain_6,heavy,medium,p2_c40_mp3,101,11,12,0,12,170,326,32,48,69,46,0,1.4110033512115479,0
chain_6,heavy,medium,p2_c40_penalty_off,101,10,12,7,5,151,300,42,48,69,47,0,1.2952680587768555,0
chain_6,heavy,medium,p2_c40_mp3,202,12,12,0,12,172,332,30,56,69,47,0,1.3634147644042969,0
chain_6,heavy,medium,p2_c40_h2,101,10,12,0,12,140,280,39,44,60,48,2,1.1941065788269043,0
chain_6,heavy,medium,p2_c40_penalty_off,42,12,12,6,6,149,291,47,56,59,53,0,1.4094438552856445,0
chain_6,heavy,medium,p2_etl_60,42,12,12,8,4,144,269,50,44,67,41,0,0.998213529586792,0
chain_6,heavy,medium,p2_c40_penalty_off,202,12,12,6,6,160,319,45,58,72,51,0,1.3748500347137451,0
chain_6,heavy,medium,p2_etl_60,202,12,12,7,5,153,296,50,52,67,49,0,1.106497049331665,0
chain_6,heavy,medium,p2_c40_h2,42,12,12,0,12,145,296,35,54,62,50,1,1.4172544479370117,0
chain_6,heavy,medium,p2_c120,42,12,12,8,4,144,269,50,44,67,41,0,1.3356988430023193,0
chain_6,heavy,medium,p2_c120,101,11,12,8,4,149,293,40,41,72,42,0,1.3057632446289062,0
chain_6,heavy,medium,p2_c120_h2,202,12,12,7,5,156,310,44,51,64,54,1,1.2262678146362305,0
chain_6,heavy,medium,p2_c40_h2,202,12,12,0,12,150,312,31,56,67,50,1,1.4005553722381592,0
chain_6,heavy,medium,p2_c120,202,12,12,7,5,153,296,50,52,67,49,0,1.3135993480682373,0
chain_6,heavy,medium,p2_c120_mp2,202,12,12,8,4,148,269,56,42,67,41,0,1.3565928936004639,0
chain_6,heavy,medium,p2_c120_mp2,42,12,12,8,4,155,295,47,52,69,45,0,1.3715269565582275,0
chain_6,heavy,medium,p2_c120_h2,42,12,12,8,4,154,293,54,49,66,50,1,1.3374004364013672,0
chain_6,heavy,medium,p2_c120_mp2,101,11,12,8,4,156,302,42,46,74,42,0,1.3912808895111084,0
chain_6,heavy,medium,p2_c120_mp3,42,12,12,8,4,153,282,49,45,66,43,0,1.3684413433074951,0
chain_6,heavy,medium,p2_etl_1800,42,12,12,8,4,144,269,50,44,67,41,0,1.2875456809997559,0
chain_6,heavy,medium,p2_c120_mp3,101,12,12,7,5,167,324,42,54,69,51,0,1.3812124729156494,0
chain_6,heavy,medium,p2_c120_mp3,202,12,12,6,6,168,309,56,59,69,49,0,1.382955551147461,0
chain_6,heavy,medium,p2_c120_h2,101,10,12,7,5,155,307,44,49,67,51,2,1.4011738300323486,0
chain_6,heavy,medium,p2_etl_60,101,11,12,8,4,149,293,40,41,72,42,0,1.4227039813995361,0
chain_6,heavy,medium,p2_etl_1800,101,11,12,8,4,149,293,40,41,72,42,0,1.442326545715332,0
chain_6,heavy,medium,p2_etl_1800,202,12,12,7,5,153,296,50,52,67,49,0,1.2838315963745117,0
chain_6,heavy,medium,p2_etl_86400,42,12,12,8,4,144,269,50,44,67,41,0,1.324824333190918,0
chain_6,heavy,medium,p2_etl_86400,101,11,12,8,4,149,293,40,41,72,42,0,1.2972922325134277,0
chain_6,heavy,frequent,baseline,101,11,12,1,11,164,337,39,37,58,66,0,1.284438133239746,0
chain_6,heavy,frequent,p2_c40_mp3,42,12,12,0,12,183,325,56,53,72,47,0,1.1042115688323975,0
chain_6,heavy,medium,p2_etl_86400,202,12,12,7,5,153,296,50,52,67,49,0,1.4012868404388428,0
chain_6,heavy,frequent,p2_c40,202,12,12,0,12,173,329,62,53,86,47,0,1.2687199115753174,0
chain_6,heavy,frequent,baseline,42,12,12,1,11,149,298,40,40,39,69,0,1.4101269245147705,0
chain_6,heavy,frequent,baseline,202,12,12,1,11,159,321,42,40,49,69,0,1.3959357738494873,0
chain_6,heavy,frequent,p2_c120,101,11,12,7,5,190,369,62,57,92,53,0,1.0354995727539062,0
chain_6,heavy,frequent,p2_c40,101,11,12,0,12,173,334,59,48,88,46,0,1.3887081146240234,0
chain_6,heavy,frequent,p2_c40,42,12,12,0,12,160,303,56,53,73,47,0,1.4337785243988037,0
chain_6,heavy,frequent,p2_c40_penalty_off,42,12,12,7,5,165,306,57,47,76,45,0,1.198315143585205,0
chain_6,heavy,frequent,p2_c40_mp2,42,12,12,0,12,173,321,52,54,74,47,0,1.3930425643920898,0
chain_6,heavy,frequent,p2_c40_mp3,202,12,12,0,12,194,340,69,50,83,47,0,1.3211960792541504,0
chain_6,heavy,frequent,p2_c40_mp2,202,12,12,0,12,187,348,59,55,88,47,0,1.37278413772583,0
chain_6,heavy,frequent,p2_c40_mp3,101,12,12,0,12,210,396,50,57,99,47,0,1.3646528720855713,0
chain_6,heavy,frequent,p2_c40_mp2,101,11,12,0,12,188,353,59,47,91,46,0,1.4459211826324463,0
chain_6,heavy,frequent,p2_c120_mp2,42,12,12,7,5,181,334,66,59,75,55,0,1.3130409717559814,0
chain_6,heavy,frequent,p2_c40_penalty_off,202,12,12,7,5,177,336,59,48,84,49,0,1.3933711051940918,0
chain_6,heavy,frequent,p2_c120,202,12,12,6,6,185,356,60,60,84,55,0,1.3492989540100098,0
chain_6,heavy,frequent,p2_c40_penalty_off,101,11,12,8,4,174,315,71,37,97,35,0,1.423710823059082,0
chain_6,heavy,frequent,p2_c120,42,12,12,7,5,176,331,62,59,77,53,0,1.400296926498413,0
chain_6,heavy,frequent,p2_c40_h2,42,12,12,0,12,176,348,50,55,85,50,1,1.4331541061401367,0
chain_6,heavy,frequent,p2_c40_h2,101,11,12,0,12,175,347,50,50,86,49,1,1.4454269409179688,0
chain_6,heavy,frequent,p2_c40_h2,202,12,12,0,12,169,327,55,54,78,50,1,1.4635100364685059,0
chain_6,heavy,frequent,p2_c120_mp2,101,11,12,7,5,188,358,60,50,88,51,0,1.3618764877319336,0
chain_6,heavy,frequent,p2_c120_mp2,202,12,12,7,5,186,345,64,53,85,51,0,1.370854139328003,0
chain_6,heavy,frequent,p2_c120_mp3,42,12,12,7,5,184,337,59,59,75,53,0,1.2917280197143555,0
chain_6,heavy,frequent,p2_c120_h2,101,11,12,8,4,181,334,73,48,88,48,1,1.0670750141143799,0
chain_6,heavy,frequent,p2_etl_60,101,11,12,7,5,190,369,62,57,92,53,0,1.074291467666626,0
chain_6,heavy,frequent,p2_c120_mp3,202,12,12,7,5,190,349,63,52,84,51,0,1.3730721473693848,0
chain_6,heavy,frequent,p2_c120_mp3,101,11,12,7,5,201,378,66,57,93,53,0,1.4443905353546143,0
chain_6,heavy,frequent,p2_etl_60,202,12,12,6,6,185,356,60,60,84,55,0,1.306187391281128,0
chain_6,heavy,frequent,p2_etl_1800,42,12,12,7,5,176,331,62,59,77,53,0,1.3039321899414062,0
chain_6,heavy,frequent,p2_c120_h2,42,12,12,7,5,180,339,66,51,80,54,1,1.452709674835205,0
chain_6,heavy,frequent,p2_c120_h2,202,12,12,7,5,176,324,73,52,74,56,1,1.3624751567840576,0
chain_6,heavy,frequent,p2_etl_60,42,12,12,7,5,176,331,62,59,77,53,0,1.3557968139648438,0
chain_6,heavy,frequent,p2_etl_86400,42,12,12,7,5,176,331,62,59,77,53,0,1.3043086528778076,0
chain_6,heavy,frequent,p2_etl_86400,101,11,12,7,5,190,369,62,57,92,53,0,1.3096320629119873,0
chain_6,heavy,frequent,p2_etl_1800,101,11,12,7,5,190,369,62,57,92,53,0,1.440183162689209,0
chain_6,heavy,frequent,p2_etl_1800,202,12,12,6,6,185,356,60,60,84,55,0,1.4284799098968506,0
chain_6,heavy,frequent,p2_etl_86400,202,12,12,6,6,185,356,60,60,84,55,0,1.3677706718444824,0
chain_10,medium,medium,p2_c40_mp3,42,0,6,0,6,149,262,10,0,46,77,0,1.8839144706726074,0
chain_10,medium,medium,baseline,202,,,0,0,81,145,9,0,28,45,0,2.17043399810791,0
chain_10,medium,medium,baseline,101,6,6,1,5,221,413,8,60,68,132,0,2.210017442703247,0
chain_10,medium,medium,baseline,42,6,6,1,5,218,407,8,63,62,135,0,2.259643077850342,0
chain_10,medium,medium,p2_c40,101,6,6,3,3,242,455,6,81,100,119,0,2.181865930557251,0
chain_10,medium,medium,p2_c40,202,,,0,0,81,145,9,0,28,45,0,2.198655366897583,0
chain_10,medium,medium,p2_c40_mp2,202,,,0,0,81,145,9,0,28,45,0,2.1776809692382812,0
chain_10,medium,medium,p2_c40_mp2,42,0,6,0,6,143,256,10,0,46,77,0,2.2118079662323,0
chain_10,medium,medium,p2_c40,42,0,6,0,6,137,250,10,0,46,77,0,2.2527029514312744,0
chain_10,medium,medium,p2_c40_mp2,101,6,6,3,3,242,455,6,81,100,119,0,2.2130208015441895,0
chain_10,medium,medium,p2_c40_mp3,202,,,0,0,81,145,9,0,28,45,0,2.220210552215576,0
chain_10,medium,medium,p2_c40_mp3,101,6,6,3,3,242,455,6,81,100,119,0,2.2512004375457764,0
